name,sourceJsonPath,description,longDescription,categories,relatedBlocks,includeInWebDocumentation,part_1_name,part_1_description,part_1_type,part_2_name,part_2_description,part_2_type,part_3_name,part_3_description,part_3_type,part_4_name,part_4_description,part_4_type,part_5_name,part_5_description,part_5_type,part_6_name,part_6_description,part_6_type,part_7_name,part_7_description,part_7_type,part_8_name,part_8_description,part_8_type,part_9_name,part_9_description,part_9_type,part_10_name,part_10_description,part_10_type,part_11_name,part_11_description,part_11_type,part_12_name,part_12_description,part_12_type,part_13_name,part_13_description,part_13_type,part_14_name,part_14_description,part_14_type,part_15_name,part_15_description,part_15_type,part_16_name,part_16_description,part_16_type,part_17_name,part_17_description,part_17_type,part_18_name,part_18_description,part_18_type,part_19_name,part_19_description,part_19_type,part_20_name,part_20_description,part_20_type,part_21_name,part_21_description,part_21_type,part_22_name,part_22_description,part_22_type,part_23_name,part_23_description,part_23_type,part_24_name,part_24_description,part_24_type,part_25_name,part_25_description,part_25_type
blooper2,../NewPatch/Assets/Blocks\blooper2\blooper2.json,,,"[""Interfaces/Special""]",[],False,InteractiveDrag,,,emit_Hover,,,emit_CrossFade,,,emit_playbackSpeed,,,emit_timeToNormalSpeed,,,emit_timeOffsetForTargetPlayback,,,emit_onOff,,,RecPlay Selector,,,playbackSpeed,,,acceleration,,,emit_bubbleDuration,,,size,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blooper3,../NewPatch/Assets/Blocks\blooper3\blooper3.json,,,"[""Interfaces/Special""]",[],False,Break the beat,"Touch toward the center to shorten the loop, around to navigate in it.",,s_OUT,,,LoopLengthEventReceiver,,,Bubble placed,Emits a jolt with value 1 when a bubble is placed and value 0 when removed.,jolt output,Is playing,Emits a jolt with value 1 when the blooper starts playing and value 0 when it stops.,jolt output,Beat repeat,Emits a jolt whener a beat repeat happens. The value of the jolt is the duration of the beat repeat.,jolt output,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
booper,../NewPatch/Assets/Blocks\booper\booper.json,,,"[""Experimental""]",[],False,Button,,,InteractiveDrag,,,esReciver,,,Eject Bubble,,,emit_vel,,,emit_size,,,RecPlay Selector,,,Hit_Elevation,,,Hit_Azimuth,,,emit_BaseBlackPartDistance,,,emit_Pressure,,,emit_Hover,,,emit_CrossFade,,,emit_SmallDotPartsDistance,,,Bubble placed,Emits a jolt with value 1 when a bubble is placed and value 0 when removed.,jolt output,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bow,../NewPatch/Assets/Blocks\bow\bow.json,Intended to be used with e_string block.,,"[""Interfaces/Special""]",[],False,Grab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
box,../NewPatch/Assets/Blocks\box\box.json,,,"[""Deprecated""]",[],True,bottom_intr,,,px_intr,,,nx_intr,,,pz_intr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bubble,../NewPatch/Assets/Blocks\bubble\bubble.json,Bubble can be used to play an audio sample.,,"[""Audio/Generators""]","[""bubble_player"", ""bubble_recorder""]",False,Bubble,Grab with two hands and pull to open.,interactive,Bubble,Hit to start playback. Touch to stop.,interactive,Play,Send a jolt to start playback.,jolt input,Set begin time,Set the point where playback should start (in seconds).,jolt input,Set end time,Set the point where playback should stop (in seconds).,jolt input,Begin time,"Emits the sample start position (in seconds) when start time changes, and on playback start.",jolt output,End time,"Emits the end point (in seconds) when end time changes, and on playback start.",jolt output,Playback done,Emits a jolt when playback stops. Connect to the 'Play' input to enable looping.,jolt output,Playback cursor,Playback cursor. Grab to scrub through the sample.,interactive,Begin time,Begin time indicator. Grab to move.,interactive,End time,End time indicator. Grab to move.,interactive,Transpose,Transposes the sample up or down by the set number of semitones.,stream input,Gain,Controls how loud the sample is.,stream input,Stop,Send a jolt to stop playback.,jolt input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bubble_player,../NewPatch/Assets/Blocks\bubble_player\bubble_player.json,Interface for connecting an audio sample bubble with the rest of your patch.,,"[""Audio/Generators""]","[""bubble"", ""bubble_recorder""]",False,Receptacle,Place a bubble here to connect it to the player.,interactive,Play,Send a jolt to start playback.,jolt input,Stop,Send a jolt to stop playback.,jolt input,Set begin time,Set the point where playback should start (in seconds).,jolt input,Set end time,Set the point where playback should stop (in seconds).,jolt input,Begin time,"Emits the sample start position (in seconds) when start time changes, and on playback start.",jolt output,End time,"Emits the end point (in seconds) when end time changes, and on playback start.",jolt output,Playback done,Emits a jolt when the playback reaches the end point. Connect to the 'Play' input to enable looping.,jolt output,MIDI Note or Playback Speed,"You can switch mode, from MIDI Note to Playback Speed, using the inspector.
- MIDI Note: input is midi semitones. Midi note 60 (C4) = original speed.
- Playback Speed: input will be the speed of the sample. 1x = original speed.",stream input,Gain,Controls how loud the output audio is.,stream input,Cursor,Directly controls the playback position of the audio (in seconds). Used in advanced patching by those who want complete control over the audio playback.,stream input,Playback cursor,Shows what part of the audio is currently being played. Drag to scrub through the audio.,interactive,Begin time,Begin time indicator. Grab to move.,interactive,End time,End time indicator. Grab to move.,interactive,Bubble placed,Emits a jolt with value 1 when a bubble is placed and value 0 when a bubble is removed.,jolt output,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bubble_popper,../NewPatch/Assets/Blocks\bubble_popper\bubble_popper.json,An underwater creature you can use to pop bubbles to remove them. Grab and move bubbles close to the spikes to make them pop.,,"[""Interfaces/Special""]",[],True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bubble_recorder,../NewPatch/Assets/Blocks\bubble_recorder\bubble_recorder.json,Tool for recording new audio into a sample bubble.,,"[""Audio/Generators""]","[""bubble"", ""bubble_player""]",False,Receptacle,Place a bubble here to connect it to the player.,interactive,Record,Send a jolt to start recording (from the begin point).,jolt input,Stop,Send a jolt to stop recording.,,Set begin time,Sets the point to start recording from (in seconds).,jolt input,Set end time,Sets the point that will trigger 'Recording end' to fire (in seconds). Recording will always continue until a jolt is received through 'Stop'. To stop at this point make a connection from 'Recording end' to 'Stop'.,jolt input,Recording end,Emits a jolt when the recording passes the end point.,jolt output,Audio input,Input for the audio to record.,stream input,Record cursor,Shows what part of the sample is being recorded to.,interactive,Begin time,Shows where recording will begin. Grab to move.,interactive,End time,Shows where a jolt will be emitted through 'Recording end'. Grab to move.,interactive,Bubble placed,Emits a jolt with value 1 when a bubble is placed and value 0 when a bubble is removed.,jolt output,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
button,../NewPatch/Assets/Blocks\button\button.json,"Pressing the button will emit a number out of the output, number can be set by the stream input.",Buttons are one of the basic blocks used to trigger stuff in your world. You can e.g. wire a the output of a button to the 'play' input of a sample to trigger playback of that sample.,"[""Interfaces/Tap""]","[""value"", ""slider"", ""knob""]",True,Value,Sets the number value that the ouput will emit.,stream input,Button,Triggers the output to emit the set number value.,interactive,Output,Emits the number value.,jolt output,Trigger,Triggers the output to emit the set number value.,jolt input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
