name,sourceJsonPath,description,longDescription,categories,relatedBlocks,includeInWebDocumentation,part_1_name,part_1_description,part_1_type,part_2_name,part_2_description,part_2_type,part_3_name,part_3_description,part_3_type,part_4_name,part_4_description,part_4_type,part_5_name,part_5_description,part_5_type,part_6_name,part_6_description,part_6_type,part_7_name,part_7_description,part_7_type,part_8_name,part_8_description,part_8_type,part_9_name,part_9_description,part_9_type,part_10_name,part_10_description,part_10_type,part_11_name,part_11_description,part_11_type,part_12_name,part_12_description,part_12_type,part_13_name,part_13_description,part_13_type,part_14_name,part_14_description,part_14_type,part_15_name,part_15_description,part_15_type,part_16_name,part_16_description,part_16_type,part_17_name,part_17_description,part_17_type,part_18_name,part_18_description,part_18_type,part_19_name,part_19_description,part_19_type,part_20_name,part_20_description,part_20_type,part_21_name,part_21_description,part_21_type,part_22_name,part_22_description,part_22_type,part_23_name,part_23_description,part_23_type,part_24_name,part_24_description,part_24_type,part_25_name,part_25_description,part_25_type
karplus_strong_extended,../NewPatch/Assets/Blocks\karplus_strong_extended\karplus_strong_extended.json,,,"[""Experimental""]",[],True,s_IN_0,,,s_IN_1,,,s_IN_2,,,s_IN_3,,,s_IN_4,,,s_IN_5,,,s_IN_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kelp_group_small,../NewPatch/Assets/Blocks\kelp_group_small\kelp_group_small.json,,,"[""Plants""]",[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kelp_group_tall,../NewPatch/Assets/Blocks\kelp_group_tall\kelp_group_tall.json,,,"[""Plants""]",[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kelp_single,../NewPatch/Assets/Blocks\kelp_single\kelp_single.json,,,"[""Plants""]",[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
keyboard,../NewPatch/Assets/Blocks\keyboard\keyboard.json,A keyboard interface that can be used to play notes by pressing the keys or to play music from a specific scale using the jolt input.,,"[""Interfaces/Tap""]",[],True,MIDI Out,"Outputs the MIDI-number of the key you press, or the corresponding note if you send a jolt to INPUT.",jolt output,Num. notes,Ouputs the number of notes in the selected scale.,jolt output,Input,"Send a jolt to make the keyboard output the MIDI-number of the corresponding note in the scale, starting form zero. E.g. sending 0 will send out the root note, or if you have a major or minor scale selected sending a 2 will output the third.",jolt input,Root note,"Sets the root note of the keyboard and scale. Maps ""C"" key to choosen note.",knob,Root note,"Send a jolt to set the root note of the keyboard and scale. Maps ""C"" key to choosen note.",jolt input,Use Global Scale,Will share the same notes as other global keyboards.,jolt input,Play/Scale Toggle, Switch between Play/Scale edit mode.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
knob,../NewPatch/Assets/Blocks\knob\knob.json,A knob.,,"[""Interfaces/Tweak""]",[],True,knobBody,,,ValveEventReciver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
knobboard,../NewPatch/Assets/Blocks\knobboard\knobboard.json,Editable array of knobs.,,"[""Logic/Sequencing""]",[],True,btn_dbug,,,resize,,,OUT,,,WRITE,,,rows,,,columns,,,KnobB(Clone),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ladder,../NewPatch/Assets/Blocks\ladder\ladder.json,"A 24 dB/oct (four-pole) bandpass-like filter, with center frequency and resonance settings.",,"[""Audio/Filters""]","[""lowpass"", ""highpass"", ""onepole"", ""statevariable"", ""allpass2""]",True,Signal input,The input signal.,stream input,Center frequency,Center frequency of the filter (in Hz). Must not be less than one.,stream input,Resonance,Resonance of the filter. Must not be less than zero.,stream input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
landmark,../NewPatch/Assets/Blocks\landmark\landmark.json,"When placed inside a device, it tells where is the center of this device, and where is its front.
It helps to get the device well placed when spawned from library, also acts as pivot point for kinetic blocks.",,"[""System""]",[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
laserboard,../NewPatch/Assets/Blocks\laserboard\laserboard.json,,,"[""Deprecated""]",[],True,emiiter_ON,,,emitter_OFF,,,s_IN_base,,,GRAB_ico,,,s_IN0,,,s_IN1,,,s_IN2,,,s_IN3,,,s_IN4,,,s_IN5,,,s_IN6,,,s_IN7,,,s_IN8,,,s_IN9,,,s_IN10,,,s_IN11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
laserkey,../NewPatch/Assets/Blocks\laserkey\laserkey.json,,,"[""Deprecated""]",[],True,EmitterNoteON,,,EmitterNoteOFF,,,s_IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
laser_canvas,../NewPatch/Assets/Blocks\laser_canvas\laser_canvas.json,A canvas that lets you control stuff with the laser pointer.,When you point your controller at the canvas it will activate the laser pointer (like e.g. in the hub). Jolt outputs lets you get the controller state.,"[""Interfaces/Special""]",[],True,Resize,Move with trigger to resize the canvas.,interactive,Canvas,Point your controller at the canvas to interact with it.,interactive,Active,"Send a 1 to activate the laser, send a 0 to deactivate it.",jolt input,x,Emits the normalized (0 to 1) x coordinate of where you're pointing at the canvas.,jolt output,y,Emits the normalized (0 to 1) y coordinate of where you're pointing at the canvas.,jolt output,hover,Emits a 1 when you start pointing at the canvas and 0 when you stop.,jolt output,trigger,"Emits a 1 when you press the trigger while pointing at the canvas, and 0 when you stop or exit the canvas.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lightbulb,../NewPatch/Assets/Blocks\lightbulb\lightbulb.json,Adds an HSV-colored light source to a scene.,,"[""Visuals/Lights""]",[],True,s_IN_h," Hue",,s_IN_s," Saturation",,s_IN_v, Intensity,,hue,,,saturation,,,value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
like_world_button,../NewPatch/Assets/Blocks\like_world_button\like_world_button.json,Click this button to like the world your are in. (You can only like other people's worlds),,"[""Player""]",[],False,On Like/Unlike,"0: player remove his like
1: player like this world
2: other player (mp session) clicked the button
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
limiter,../NewPatch/Assets/Blocks\limiter\limiter.json,"Applies brick wall limiting to the incoming signal, to control the amplitude.",,"[""Audio/Effects""]",[],True,Signal input,The signal to which the limiting will be applied.,stream input,Release time,How fast the limiter will stop suppressing the input signal once the threshold is no longer crossed.,stream input,Look-ahead time,Time 'ahead' at which the limiter will start suppressing the signal once the threshold has been crossed.,stream input,Attack time,How fast the limiter will start suppressing the input signal once the threshold level has been crossed.,stream input,Threshold level,The signal level above which the limiting will be applied. Set in linear units. (0-1 range),stream input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
linearladder,../NewPatch/Assets/Blocks\linearladder\linearladder.json,Frequency bandpass filter.,,[],[],True,s_IN_0,,,s_IN_1,,,s_IN_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
list,../NewPatch/Assets/Blocks\list\list.json,Select between multiple stream inputs.,,"[""Experimental""]",[],True,Emitter_000,,,Emitter_001,,,es_hot,,,s_IN(Clone),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
listener,../NewPatch/Assets/Blocks\listener\listener.json,"Listen to all output blocks, mix them all into a single audio signal and output it.",,"[""Audio/Generators""]",[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
log,../NewPatch/Assets/Blocks\log\log.json,Returns the logarithm of value A to the base of B value.,,"[""Audio/Operators""]","[""power"", ""log_jolt""]",True,A,Logarithm value A.,stream input,B,Logarithm base value B.,stream input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
log_jolt,../NewPatch/Assets/Blocks\log_jolt\log_jolt.json,Returns the logarithm of jolt input to the base of the stream value.,,"[""Logic/Operators""]","[""power_jolt"", ""log""]",True,Base,Sets the logarithm base value (without triggering the output).,stream input,Calculate,"Receives value of which the logarithm value will be calculated, triggers the calculation.",jolt input,Result,Emits calculated value as jolt.,jolt output,toggle,Toggle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lowpass,../NewPatch/Assets/Blocks\lowpass\lowpass.json,12 dB/oct (two-pole) biquad low-pass filter.,,"[""Audio/Filters""]","[""highpass"", ""onepole"", ""ladder"", ""statevariable"", ""allpass2""]",True,Signal input,The input signal.,stream input,Cutoff frequency,Cutoff frequency of the filter (in Hz). Must not be less than one.,stream input,Resonance,Resonance of the filter. Must not be less than zero.,stream input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lowpass_old,../NewPatch/Assets/Blocks\lowpass_old\lowpass_old.json,Low pass filter.,,[],[],True,s_IN_0,,,s_IN_1_cutoffFreq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
low_shelf,../NewPatch/Assets/Blocks\low_shelf\low_shelf.json,Boosts or cuts frequencies below a given frequency.,,"[""Audio/Filters""]",[],False,input,The signal to filter,straem input,freq,The frequency below which to boost or cut.,stream input,gain,How much to boost or cut.,,steepness,How steep the passband should be.,stream input,output,The filtered signal,stream output,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
magic_spotlight,../NewPatch/Assets/Blocks\magic_spotlight\magic_spotlight.json,Spot light which reveals passthrough.,,"[""Visuals/Lights""]",[],False,magic_spotlight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
magic_window,../NewPatch/Assets/Blocks\magic_window\magic_window.json,"Used with Mixed Reality block, Magic windows will snap to the walls when the patch loads and reveal the game view. You can use it to place devices on walls.",,"[""Props""]",[],True,Resize,Move with trigger to resize the canvas.,interactive,Canvas,Point your controller at the canvas to interact with it.,interactive,Active,"Send a 1 to activate the laser, send a 0 to deactivate it.",jolt input,x,Emits the normalized (0 to 1) x coordinate of where you're pointing at the canvas.,jolt output,y,Emits the normalized (0 to 1) y coordinate of where you're pointing at the canvas.,jolt output,hover,Emits a 1 when you start pointing at the canvas and 0 when you stop.,jolt output,trigger,"Emits a 1 when you press the trigger while pointing at the canvas, and 0 when you stop or exit the canvas.",,hit,Emits speed when a marble or controller hits the window.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
make_physical,../NewPatch/Assets/Blocks\make_physical\make_physical.json,"Make blocks able to collide, be thrown or subject to gravity.",,"[""Motion/Physics""]",[],False,Physic objects,Click and drag to make objects physical.,,Mass (kg),Will affect collision with other.,,Drag,Continuously slow down the speed of the object.,,Rotation Drag,Continuously slow down the rotation of the object.,,Magnet Force,"Putting a positive value will attract other blocks with positive value, and repel ones with negative.",,Bounciness,0-1 value controlling the bounce when colliding to other blocks (Average of both blocks' bounciness will be taken into account),,Friction,Takes any value from 0 to infinity. (Average of both blocks' friction will be taken into account),,Gravity,,,Gravity,"0 : no gravity, 1 : gravity is applied to the object.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
map,../NewPatch/Assets/Blocks\map\map.json,Scales values from one range to another.,For example can be used to scale slider 0-1 range to 1-1000 range.,"[""Audio/Converters""]","[""clamp""]",True,Input,Value to be mapped.,stream input,Input range min,Input range lower value.,stream input,Input range max,Input range upper value.,stream input,Output range min,Output range lower value.,stream input,Output range max,Output range upper value.,stream input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
map_jolt,../NewPatch/Assets/Blocks\map_jolt\map_jolt.json,Scales values from one range to another.,For example can be used to scale slider 0-1 range to 1-1000 range.,"[""Logic/Operators""]",[],False,Input range min,Input range lower value.,stream input,Input range max,Input range upper value.,stream input,Output range min,Output range lower value.,stream input,Output range max,Output range upper value.,stream input,Output,Result of the mapped value.,,Input,Value to map.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marble,../NewPatch/Assets/Blocks\marble\marble.json,,,"[""Experimental""]",[],True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marblerandomgate,../NewPatch/Assets/Blocks\marbleRandomGate\marbleRandomGate.json,,,"[""Motion/Marble Run""]",[],False,visuals,Gate redirecting marbles based on the propability,,knob,Propability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marbleslide,../NewPatch/Assets/Blocks\marbleSlide\marbleSlide.json,A slide that will guide marbles with realistic physics.,,"[""Motion/Marble Run""]",[],True,marbleSlide,,,Handle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marbletube,../NewPatch/Assets/Blocks\marbleTube\marbleTube.json,A tube with a funnel that will catch and guide marbles.,,"[""Motion/Marble Run""]",[],True,marbleTube,,,Handle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mask_panel,../NewPatch/Assets/Blocks\mask_panel\mask_panel.json,,,"[""Player""]",[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
material_brush,../NewPatch/Assets/Blocks\material_brush\material_brush.json,Let you easily apply materials to different blocks.,,"[""Visuals/Design""]",[],False,Edit material,,,Add new material,,,Select material,,,Select material,,,Change texture size,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
max,../NewPatch/Assets/Blocks\max\max.json,Returns the highest of the two (A and B) incoming stream values.,,"[""Audio/Operators""]","[""min""]",True,A,Value A,stream input,B,Value B,stream input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metronome,../NewPatch/Assets/Blocks\metronome\metronome.json,Ticks off regular events at a specified interval.,,"[""Logic/Timing""]",[],True,s_IN," (INa) freq",,eR_set,Set phase,,Emitter,"Emits events, with each tick having a value of 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mic,../NewPatch/Assets/Blocks\mic\mic.json,Outputs microphone pitch (MIDI note number) and amplitude (0-1).,,"[""Interfaces/Special""]","[""microphone""]",True,Pitch,Emits the pitch of the audio coming into the microphone in the form of a MIDI note number.,jolt output,Amplitude,Emits the amplitude of the audio coming into the microphone in the form of the normalized level value (0-1).,jolt output,note,,,DB,,,Grab sphere VR,,,Grab sphere VR (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
microphone,../NewPatch/Assets/Blocks\microphone\microphone.json,Outputs microphone audio signal as a stream.,,"[""Audio/Generators""]","[""mic""]",True,Grab sphere VR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
midi_control_change,../NewPatch/Assets/Blocks\midi_control_change\midi_control_change.json,Midi layer between PatchWorld and DAWs.,,"[""Logic/Connectors""]",[],True,e_in_hot,,,s_IN,,,text_IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
midi_key,../NewPatch/Assets/Blocks\midi_key\midi_key.json,Midi layer between PatchWorld and DAWs.,,"[""Logic/Connectors""]",[],True,e_in_hot,,,s_IN,,,text_IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
midi_keys,../NewPatch/Assets/Blocks\midi_keys\midi_keys.json,Midi layer between PatchWorld and DAWs.,,"[""Logic/Connectors""]",[],True,e_in_hot,,,s_IN,,,text_IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
midi_to_freq,../NewPatch/Assets/Blocks\midi_to_freq\midi_to_freq.json,Converts MIDI note number (0-127) to correnspoding frequency (Hz). E.g. 69 is A5 (440Hz) and 60 is C4 (261.63Hz).,,"[""Audio/Converters""]","[""midi_to_freq_jolt""]",True,MIDI note,MIDI note value (0-127) to convert.,stream input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
midi_to_freq_jolt,../NewPatch/Assets/Blocks\midi_to_freq_jolt\midi_to_freq_jolt.json,Converts MIDI note number (0-127) jolt to correnspoding frequency (Hz) jolt. E.g. 69 is A5 (440Hz) and 60 is C4 (261.63Hz).,,"[""Logic/Operators""]","[""midi_to_freq""]",True,MIDI note input,Receives a jolt with value of MIDI note to convert.,jolt input,Output,Emits jolt with calculated note frequency.,jolt output,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
min,../NewPatch/Assets/Blocks\min\min.json,Returns the lowest of the two (A and B) incoming values.,,"[""Audio/Operators""]","[""max""]",True,A,Value A,stream input,B,Value B,stream input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mixed_reality,../NewPatch/Assets/Blocks\mixed_reality\mixed_reality.json,"Enables Mixed Reality, you can see the real world around you with your room set up.",,"[""Sky""]",[],True,Grab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
modulo,../NewPatch/Assets/Blocks\modulo\modulo.json,Returns the remainder after dividing stream A by stream B.,,"[""Audio/Operators""]","[""round"", ""floor"", ""divide"", ""modulo_jolt""]",True,A,Dividen value.,stream input,B,Divisor value.,stream input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
modulo_jolt,../NewPatch/Assets/Blocks\modulo_jolt\modulo_jolt.json,Returns the remainder after dividing jolt by stream input value.,,"[""Logic/Operators""]","[""floor_jolt"", ""divide_jolt"", ""modulo""]",True,Divisor,Sets the value by which the jolt will be divided (without triggering the output).,stream input,Calculate,"Receives value which will be divided by stream input value, triggers the calculation.",jolt input,Result,Emits calculated remainder value as jolt.,jolt output,toggle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
moveanalysis,../NewPatch/Assets/Blocks\MoveAnalysis\MoveAnalysis.json,Outputs values of selected movement efforts according to Laban movement analysis,Efforts calculations are based on the movement of the controllers and HMD. Features an auto scaling option (max never exceeds 1) that resets on patch reload. Can be used to extract higher level descriptors of the user's movements. Try searching for Laban movement analysis on YouTube to see movement examples for each effort.,"[""Interfaces/Move""]","[""controloutput"", ""controllerposition"", ""controllerrotation"", ""hapticcontrol""]",True,Weight effort,Can be interpreted as weight of the movement. Strong movement corresponds to higher values.,jolt output,Time effort,"Can be interpreted as timing of the movement. Quick, sudden movement corresponds to higher values.",jolt output,Space effort,Can be interpreted as directness of the movement. Indirect movement corresponds to higher values.,jolt output,Flow effort,Can be interpreted as smoothness of the movement. Chaotic movement corresponds to higher values.,jolt output,Left hand movement radius,Bigger radius of the left controller movement corresponds to higher values.,jolt output,Right hand movement radius,Bigger radius of the right controller movement corresponds to higher values.,jolt output,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
msg_in,../NewPatch/Assets/Blocks\msg_in\msg_in.json,Receive an OSC message.,,"[""Logic/Connectors""]",[],True,e_out,,,text_IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
msg_out,../NewPatch/Assets/Blocks\msg_out\msg_out.json,Send an OSC message.,,"[""Logic/Connectors""]",[],True,e_in_hot,,,s_IN,,,text_IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
multiply,../NewPatch/Assets/Blocks\multiply\multiply.json,Multiplies two numbers and outputs the result using a simple A * B math operation.,,"[""Audio/Operators""]","[""divide"", ""add"", ""subtract"", ""multiply_jolt""]",True,A,"The first value, multiplied with B.",stream input,B,"The second value, multiplied with A.",stream input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
multiply_jolt,../NewPatch/Assets/Blocks\multiply_jolt\multiply_jolt.json,Calculates multiplication of the jolt value with the stream value and outputs the result as jolt.,,"[""Logic/Operators""]","[""divide_jolt"", ""add_jolt"", ""subtract_jolt"", ""multiply""]",True,Multiplier,Sets the value with which the jolt input value will be multiplied (without triggering the output).,stream input,Output,Emits calculated value as jolt,jolt output,Input,"Receives value which will be multiplied with the stream value, triggers the calculation.",jolt input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m_add,../NewPatch/Assets/Blocks\m_add\m_add.json,,,[],[],True,s_IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m_booster,../NewPatch/Assets/Blocks\m_booster\m_booster.json,,,"[""Deprecated""]",[],True,s_IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m_compare,../NewPatch/Assets/Blocks\m_compare\m_compare.json,,,"[""Deprecated""]",[],True,s_IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m_path,../NewPatch/Assets/Blocks\m_path\m_path.json,,,"[""Deprecated""]",[],True,EmitterV,,,emitter,,,emitterLenght,,,knobOrig,,,Collider,,,PathBodyExtendHandleHandelExtend_001,,,Grab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m_reader,../NewPatch/Assets/Blocks\m_reader\m_reader.json,,,"[""Deprecated""]",[],True,emitter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m_spawner,../NewPatch/Assets/Blocks\m_spawner\m_spawner.json,,,"[""Motion/Marble Run""]",[],True,ButonPivot,,,eR_triggerController,,,knob,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m_switch,../NewPatch/Assets/Blocks\m_switch\m_switch.json,,,"[""Deprecated""]",[],True,s_IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
next_button,../NewPatch/Assets/Blocks\next_button\next_button.json,Press the button - triggers a jolt of any input stream value when activated.,,"[""Interfaces/Tap""]",[],True,Button,Button,,Emitter,Emits jolt of active value,,e_I,Jolt input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nknob,../NewPatch/Assets/Blocks\nknob\nknob.json,A stream constant value.,,"[""Deprecated""]","[""knob"", ""custom_knob"", ""custom_knob2""]",True,knobBody,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
noise,../NewPatch/Assets/Blocks\noise\noise.json,Generates white noise - a signal with uniform energy across the frequency spectrum.,,"[""Audio/Generators""]","[""pink_noise""]",True,Change type,"Click to change type:
- White : Generates noise with all frequencies distributed evenly.
- Pink : Produces noise with a more balanced sound, with reduced high frequencies.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nopales,../NewPatch/Assets/Blocks\nopales\nopales.json,,,"[""Props""]",[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nth,../NewPatch/Assets/Blocks\nth\nth.json,Sends only one event every N events it receives.,,"[""Logic/Sequencing""]","[""rangedfor"", ""counter""]",True,N value,"Sets the value at which the counter will reset, start counting from zero again and trigger the output.",stream input,Input,Counter increment trigger. Each received jolt triggers the count to increase by one.,jolt input,Set,Sets current count value.,jolt input,Output,Emits a jolt every time the count has reached the N value.,jolt output,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ntor,../NewPatch/Assets/Blocks\ntor\ntor.json,Does (x + 1) * 0.5 * (B-A) + A so you can map {-1 to 1} values to {A to B} values.,,"[""Deprecated""]",[],True,s_IN_value,,,s_IN_1_min,,,s_IN_2_max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ntou,../NewPatch/Assets/Blocks\ntou\ntou.json,Does (x + 1) * 0.5 so you can map {-1 to 1} values to {0 to 1}.,,"[""Deprecated""]",[],True,s_IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nudibranch,../NewPatch/Assets/Blocks\nudibranch\nudibranch.json,,,"[""Animals""]",[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
numpad,../NewPatch/Assets/Blocks\numpad\numpad.json,Let you enter a number with a numeric keypad.,,"[""Interfaces/Tap""]",[],False,Output,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
